                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     85,               0.031472,               0.049111,               0.055985,               0.010458,                0.82671,                0.87548,                0.89691,                0.74838,                0.83195,                0.87925,                0.90325,                0.74366,               0.027689,               0.028057,               0.024249,              0.0016637,                0.00244,                0.00244,                0.00244
                     86,                 0.0316,               0.049487,                0.05845,                 0.0101,                0.81514,                0.88704,                0.90001,                0.76777,                0.81906,                0.89092,                0.90786,                0.75327,               0.028592,               0.028296,               0.024046,              0.0017064,                0.00235,                0.00235,                0.00235
                     87,                0.03184,                0.04916,               0.058044,              0.0098724,                0.85019,                0.87474,                0.89888,                0.76175,                0.84809,                0.88004,                0.90908,                0.75558,               0.029497,               0.028221,               0.023406,               0.001943,                0.00226,                0.00226,                0.00226
                     88,               0.031187,               0.048863,               0.052249,               0.010633,                0.78968,                0.89632,                0.88034,                0.72269,                0.79371,                0.89438,                0.88314,                0.71194,                0.02966,               0.028333,               0.023454,              0.0014947,                0.00217,                0.00217,                0.00217
                     89,               0.030858,               0.048377,               0.055739,               0.010609,                0.79295,                0.87074,                0.84727,                0.70724,                0.80537,                0.88043,                0.86151,                0.67919,               0.029428,                0.02825,               0.024139,              0.0018177,                0.00208,                0.00208,                0.00208
                     90,               0.030497,               0.048208,               0.053622,               0.010482,                0.79189,                0.88964,                0.87447,                0.72889,                0.79667,                0.90919,                0.88238,                0.72519,               0.028597,               0.027976,               0.023896,              0.0017706,                0.00199,                0.00199,                0.00199
                     91,               0.031717,               0.052012,               0.056927,               0.010602,                0.82905,                0.84375,                0.87886,                0.71923,                0.83384,                0.84723,                0.88537,                 0.7339,               0.028756,               0.027683,               0.023652,              0.0017593,                 0.0019,                 0.0019,                 0.0019
                     92,               0.031531,               0.049088,               0.056392,                0.01045,                0.85022,                0.83915,                0.86525,                0.71649,                0.85883,                 0.8469,                0.87638,                0.71332,               0.029198,               0.027688,               0.023815,              0.0019347,                0.00181,                0.00181,                0.00181
                     93,               0.031151,               0.048755,               0.054611,               0.010459,                0.85979,                0.85686,                0.87604,                0.73321,                0.86195,                 0.8588,                0.87799,                0.73479,               0.029201,               0.028057,               0.023398,              0.0020746,                0.00172,                0.00172,                0.00172
                     94,               0.031339,                0.05015,               0.057248,              0.0099694,                0.85169,                0.85127,                0.87447,                0.73101,                0.85626,                0.85284,                0.87466,                0.71942,               0.028135,               0.027709,               0.023494,              0.0021937,                0.00163,                0.00163,                0.00163
                     95,               0.031101,               0.048479,               0.055381,               0.010049,                0.79565,                0.88248,                0.88438,                0.73077,                0.79966,                0.88635,                0.88753,                0.72699,               0.028115,               0.027528,               0.023889,              0.0020424,                0.00154,                0.00154,                0.00154
                     96,               0.030787,                0.04882,               0.055485,               0.010394,                0.78702,                0.88519,                0.88271,                0.74247,                 0.7889,                0.88713,                0.88396,                0.71853,               0.027606,               0.027536,               0.023421,              0.0018803,                0.00145,                0.00145,                0.00145
                     97,               0.030555,               0.048076,               0.055103,              0.0098376,                0.85625,                0.82766,                0.89629,                0.76774,                 0.8587,                 0.8296,                0.89721,                0.73614,               0.027375,               0.027438,               0.023576,               0.001826,                0.00136,                0.00136,                0.00136
                     98,               0.031029,               0.048486,               0.057189,               0.010365,                0.85017,                0.82914,                0.88052,                0.76183,                0.85152,                 0.8317,                0.88337,                0.73363,               0.028026,                0.02784,               0.023187,              0.0020125,                0.00127,                0.00127,                0.00127
                     99,               0.029762,               0.048534,               0.055206,              0.0099813,                0.85466,                0.86461,                0.87082,                0.75625,                0.85299,                0.87271,                 0.8745,                0.71182,               0.027681,               0.027689,               0.023096,              0.0019147,                0.00118,                0.00118,                0.00118
                    101,                0.81512,                0.88704,                0.90005,                0.76715,                0.81903,                0.89092,                0.90785,                0.75326,               0.028588,               0.028294,               0.024042,              0.0017061
